class_id,class_name,precision,recall,f1_score,mAP50,mAP50-95
-1,OVERALL,0.9771419923629402,0.9698082019510302,0.9734607846687825,0.9805726297098172,0.8679429219271457
0,text,0.9423480078172984,0.997942423172024,0.9693487525092055,0.8953191617628364,0.8953191617628364
1,equation,0.9998331434862248,0.9134758612611786,0.9547056325950115,0.8416661643031527,0.8416661643031527
2,symbol,0.9892448257852973,0.9980063214198882,0.993606259535052,0.8668434397154486,0.8668434397154486
